time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-18T15:30:09.260Z,32.8484,-96.9172,10.69,2.6,mb_lg,,59,0.004,0.15,us,us20002ydz,2015-10-14T21:05:42.040Z,"4km NE of Irving, Texas",earthquake,1.8,1.6,0.095,29,reviewed,us,us
2015-07-17T10:47:54.200Z,34.4782,-97.7607,5,2.7,ml,,152,,1.05,us,us20002y5p,2016-01-29T07:23:26.422Z,"18km E of Duncan, Oklahoma",earthquake,1.4,2,,,reviewed,tul,tul
2015-07-16T00:17:49.460Z,32.8533,-96.9417,5,1.8,ml,,65,0.017,0.57,us,us20002xtm,2015-10-14T21:05:35.040Z,"4km N of Irving, Texas",earthquake,1.9,1.1,0.128,8,reviewed,us,us
2015-07-14T08:28:10.400Z,34.9921,-97.6915,3.108,2.5,ml,,169,,0.8,us,us20002xdz,2015-10-09T20:19:17.040Z,"16km S of Blanchard, Oklahoma",earthquake,1.3,7.7,,,reviewed,tul,tul
2015-07-14T08:22:15.000Z,34.9775,-97.6798,4.776,3.2,mwr,,155,,0.77,us,us20002xd1,2015-10-09T20:19:17.040Z,"17km S of Blanchard, Oklahoma",earthquake,1.9,5.8,0.06,27,reviewed,tul,us
2015-07-13T11:03:56.270Z,32.8351,-96.939,5,2.4,mb_lg,,65,0.015,0.89,us,us20002x3z,2015-10-09T20:19:15.040Z,"2km NNE of Irving, Texas",earthquake,2.1,1.7,0.088,34,reviewed,us,us
2015-06-28T05:40:35.630Z,32.8505,-97.0002,5,2.1,mb_lg,,75,0.034,0.52,us,us10002m8z,2015-09-02T22:37:22.040Z,"6km NW of Irving, Texas",earthquake,1.9,1.6,0.228,5,reviewed,us,us
2015-06-27T10:19:02.930Z,32.8723,-96.907,5,2.3,mb_lg,,60,0.024,0.82,us,us10002m8n,2015-09-02T22:37:21.040Z,"6km S of Farmers Branch, Texas",earthquake,1,1.5,0.117,19,reviewed,us,us
2015-06-13T13:34:47.480Z,32.8726,-96.9038,5,2.3,mb_lg,,78,0.024,0.93,us,us20002q4c,2015-08-20T00:43:56.040Z,"6km S of Farmers Branch, Texas",earthquake,1.6,1.4,0.142,13,reviewed,us,us
2015-06-12T11:38:36.200Z,35.0029,-97.6734,3.446,2.7,ml,,124,,0.54,us,us20002phe,2015-08-20T00:43:55.040Z,"15km S of Blanchard, Oklahoma",earthquake,2.3,7.6,,,reviewed,tul,tul
2015-05-18T18:14:29.920Z,32.8675,-96.9566,5,3.3,mb_lg,,65,0.009,0.73,us,us10002a93,2017-08-26T00:41:34.308Z,"5km N of Irving, Texas",earthquake,2,1.7,0.057,81,reviewed,us,us
2015-05-09T16:12:38.390Z,32.854,-96.8903,5,2.7,mb_lg,,64,0.067,0.68,us,us20002e30,2015-07-17T07:06:03.040Z,"7km NE of Irving, Texas",earthquake,1.9,2,0.079,43,reviewed,us,us
2015-05-04T13:57:59.870Z,32.8613,-96.8716,5,2.7,mb_lg,,76,0.026,0.78,us,us20002b6q,2015-08-12T21:44:33.770Z,"6km W of University Park, Texas",earthquake,1.5,1.7,0.088,34,reviewed,us,us
2015-05-04T08:49:27.750Z,32.8589,-96.852,5,2.1,mb_lg,,77,0.04,0.84,us,us20002beu,2015-07-09T22:00:09.040Z,"4km WNW of University Park, Texas",earthquake,1.9,1.9,0.255,4,reviewed,us,us
2015-05-03T16:12:04.480Z,32.8561,-96.891,5,2.5,mb_lg,,76,0.009,0.7,us,us20002b2p,2015-07-09T22:00:08.040Z,"7km NE of Irving, Texas",earthquake,1.6,1.7,0.124,17,reviewed,us,us
2015-05-03T15:11:16.150Z,32.8511,-96.9514,5,3.2,mb_lg,,64,0.024,0.56,us,us20002azv,2015-07-18T15:38:46.768Z,"4km N of Irving, Texas",earthquake,1.3,1.1,0.061,72,reviewed,us,us
2015-04-03T08:58:11.070Z,32.8826,-96.8772,5,2.2,mb_lg,,169,0.047,0.28,us,us10001u6k,2015-06-16T01:00:24.040Z,"5km SSE of Farmers Branch, Texas",earthquake,1.3,1.5,0.193,7,reviewed,us,us
2015-04-03T04:28:37.020Z,32.8678,-96.934,5.74,2.3,mb_lg,,59,0.021,0.49,us,us10001u66,2015-06-16T01:00:24.040Z,"6km NNE of Irving, Texas",earthquake,1.8,3.1,0.147,12,reviewed,us,us
2015-04-03T03:04:49.640Z,32.8614,-96.9087,5,2.5,mb_lg,,63,0.017,0.71,us,us10001thn,2015-06-16T01:00:24.040Z,"6km NE of Irving, Texas",earthquake,3.5,1.7,0.111,21,reviewed,us,us
2015-04-02T22:36:21.040Z,32.8588,-96.9356,7.67,3.3,mb_lg,,56,0.015,0.49,us,us10001tg3,2016-09-07T13:19:32.423Z,"5km NNE of Irving, Texas",earthquake,2.1,1.3,0.059,76,reviewed,us,us
2015-04-02T10:38:06.000Z,32.8543,-96.9392,5,2.7,mb_lg,,61,0.015,0.52,us,us10001t33,2015-06-16T01:00:23.040Z,"4km NNE of Irving, Texas",earthquake,1.7,1.8,0.073,49,reviewed,us,us
2015-03-14T07:31:16.290Z,32.8565,-96.9251,5,2.7,mb_lg,,43,0.008,0.63,us,us10001mc1,2015-06-04T00:46:19.040Z,"5km NNE of Irving, Texas",earthquake,1.8,1.7,0.109,22,reviewed,us,us
